Restaurant Name,Price Range,Restauarant Website
Mako,175 USD,https://www.makochicago.com/
Sepia,24 - 75 USD,https://www.sepiachicago.com/
EL Ideas,75 - 150 USD,https://www.elideas.com/
Schwa,160 USD,https://www.schwarestaurant.com/
North Pond,65 - 95 USD,http://www.northpondrestaurant.com/
Temporis,165 USD,https://www.temporischicago.com/
Métier,200 - 260 USD,https://www.metierdc.com/
Sushi Taro,150 - 300 USD,https://www.sushitaro.com/
Sushi Nakazawa,120 - 150 USD,https://www.sushinakazawa.com/
The Dabney,25 - 50 USD,https://www.thedabney.com/
Tail Up Goat,25 - 50 USD,https://www.tailupgoat.com/
Fiola,75 - 220 USD,https://www.fioladc.com/
Little Pearl,49 USD,https://www.littlepearldc.com/
Plume,106 - 120 USD,http://www.plumedc.com/
Komi,165 USD,https://www.komirestaurant.com/
Masseria,50 - 150 USD,https://www.masseria-dc.com/
Maydān,45 - 65 USD,https://www.maydandc.com/
Rooster & Owl,65 USD,https://www.roosterowl.com/
Elcielo D.C.,70 - 228 USD,https://www.elcielorestaurant.com/
Bresca,50 - 110 USD,https://www.brescadc.com/
Cranes,40 - 100 USD,https://www.cranes-dc.com/
Rose’s Luxury,44 - 75 USD,https://www.rosesluxury.com/
Xiquet,60 - 130 USD,https://www.xiquetdl.com/
Gravitas,50 - 150 USD,https://www.gravitasdc.com/
Kinship,60 - 95 USD,https://www.kinshipdc.com/
Noni,54 - 80 EUR,https://www.noni.com.mt/
ION - The Harbour,55 - 125 EUR,https://www.iontheharbour.com/
Under Grain,70 - 95 EUR,https://www.grain.mt/
Bahia,38 - 80 EUR,https://www.bahia.com.mt/
De Mondion,70 - 96 EUR,https://www.demondion.com/
Noble,36 - 85 EUR,https://www.restaurantnoble.nl/
Herberg Onder de Linden,55 - 125 EUR,https://www.herbergonderdelinden.com/
Zarzo,55 - 160 EUR,https://www.zarzo.nl/
Katseveer,67 - 109 EUR,https://www.katseveer.nl/
Valuas,50 - 160 EUR,https://www.valuas-hr.nl/
RIJKS®,45 - 120 EUR,https://www.rijksrestaurant.nl/
The Millèn,30 - 99 EUR,https://www.restaurantthemillen.nl/
Brienen aan de Maas,70 - 108 EUR,https://www.restaurantbrienenaandemaas.nl/
Olivijn,57 - 104 EUR,https://www.olivijn.nl/
MOS,45 - 95 EUR,https://www.mosamsterdam.nl/
Posthoorn,65 - 105 EUR,https://www.posthoorn.eu/
't Raedthuys,43 - 98 EUR,https://www.raedthuys-duiven.nl/
De Gieser Wildeman,57 - 122 EUR,https://www.degieserwildeman.nl/
Basiliek,59 - 102 EUR,https://www.restaurantbasiliek.nl/
ONE,59 - 115 EUR,https://www.restaurantone.nl/
Wollerich,55 - 90 EUR,https://www.wollerich.nl/
Kaatje bij de Sluis,63 - 115 EUR,https://www.kaatje.nl/
Beluga Loves You,59 - 135 EUR,https://www.belugalovesyou.com/
Daalder,38 - 135 EUR,https://www.daalderamsterdam.nl/
Joelia,55 - 175 EUR,https://www.joelia.eu/
Bolenius,49 - 140 EUR,https://www.bolenius-restaurant.nl/
FG Food Labs,50 - 129 EUR,https://www.fgfoodlabs.nl/
Amarone,40 - 150 EUR,https://www.restaurantamarone.nl/
L'Aquarelle,56 - 120 EUR,https://www.laquarelle.net/
Sinne,45 - 95 EUR,https://www.restaurantsinne.nl/
Yamazato,150 - 190 EUR,https://www.okura.nl/
Zeezout,36 - 75 EUR,https://www.restaurantzeezout.nl/
Fitzgerald,34 - 150 EUR,https://www.restaurantfitzgerald.nl/
Taller,65 - 120 EUR,www.tallerarzuaga.com
OAK,74 - 119 EUR,https://www.oakgent.be/
Posthoorn,65 - 105 EUR,https://www.posthoorn.eu/
Publiek,38 - 98 EUR,https://www.publiekgent.be/
Souvenir,48 - 110 EUR,https://www.souvenir.gent/
Benoit en Bernard Dewitte,57 - 88 EUR,https://www.benoitdewitte.be/
Horseele,95 - 170 EUR,https://www.restauranthorseele.be/
Perceel,50 - 120 EUR,https://www.restaurantperceel.nl/
Zarate,60 - 103 EUR,www.zarate.restaurant
Nerua Guggenheim Bilbao,45 - 80 EUR,www.neruaguggenheimbilbao.com
Etxanobe Atelier,125 - 150 EUR,www.etxanobe.com
The Duchess,50 - 150 EUR,https://www.the-duchess.com/
Perceel,50 - 120 EUR,https://www.restaurantperceel.nl/
Merlet,65 - 115 EUR,https://www.merlet.nl/
Monarh,46 - 128 EUR,https://www.monarh.nl/
Het Koetshuis,58 - 115 EUR,https://www.hetkoetshuis.nl/
Calla's,43 - 115 EUR,https://www.restaurantcallas.nl/
De Nederlanden,65 - 150 EUR,https://www.nederlanden.nl/
Spetters,48 - 130 EUR,https://www.restaurantspetters.nl/
Da Vinci,40 - 125 EUR,https://www.restaurantdavinci.nl/
Kasteel Heemstede,65 - 130 EUR,https://www.restaurant-kasteelheemstede.nl/
't Lansink,50 - 120 EUR,https://www.hotellansink.com/
Ratatouille Food & Wine,70 - 150 EUR,https://www.ratatouillefoodandwine.nl/
Rantrée,43 - 110 EUR,https://www.rantree.nl/
Vista,45 - 150 EUR,http://www.vistawillemstad.nl/
De Burgemeester,62 - 135 EUR,https://www.deburgemeester.nl/
De Vlindertuin,70 - 90 EUR,https://www.restaurant-devlindertuin.nl/
Fitzgerald,34 - 150 EUR,https://www.restaurantfitzgerald.nl/
Bougainville,90 - 224 EUR,https://www.restaurantbougainville.com/
't Vlasbloemeken,43 - 121 EUR,https://www.vlasbloemeken.com/
't Amsterdammertje,46 - 120 EUR,https://www.restaurantamsterdammertje.nl/
FG Food Labs,50 - 129 EUR,https://www.fgfoodlabs.nl/
Wiesen,49 - 99 EUR,https://www.wiesen-restaurant.nl/
La Provence,65 - 107 EUR,https://www.restaurantlaprovence.nl/
Cheval Blanc,35 - 110 EUR,https://www.cheval-blanc.nl/
De Bloemenbeek,38 - 130 EUR,https://www.bloemenbeek.nl/
De Loohoeve,45 - 200 EUR,https://www.deloohoeve.nl/
Rijnzicht,60 - 110 EUR,https://www.rijnzicht.nl/
Zout & Citroen,37 - 95 EUR,https://www.zoutencitroen.nl/
De Leuf,55 - 125 EUR,https://www.deleuf.nl/
RON Gastrobar,30 - 190 EUR,https://www.rongastrobar.nl/
Tout à Fait,45 - 130 EUR,https://www.toutafait.nl/
Apicius,45 - 85 EUR,https://www.apicius.nl/
AIRrepublic,92 - 152 EUR,https://www.air-republic.com/
Tilia,40 - 80 EUR,https://www.restauranttilia.nl/
Meliefste,65 - 130 EUR,https://www.restaurantmeliefste.nl/
Soigné,61 - 88 EUR,https://www.restaurantsoigne.nl/
Tante Koosje,57 - 129 EUR,https://www.tante-koosje.nl/
Vermeer,70 - 100 EUR,https://www.restaurantvermeer.nl/
Eden,47 - 84 EUR,https://www.restaurant-eden.nl/
Versaen,45 - 80 EUR,https://www.restaurantversaen.nl/
Noble Kitchen,35 - 88 EUR,https://www.noblekitchen.nl/
Bolenius,49 - 140 EUR,https://www.bolenius-restaurant.nl/
Wils,45 - 90 EUR,https://www.restaurantwils.nl/
OONIVOO,45 - 89 EUR,https://www.oonivoo.nl/
Bord'Eau,60 - 130 EUR,https://www.bordeau.nl/
O&O,75 - 145 EUR,https://www.restaurantoeno.nl/
Joelia,55 - 175 EUR,https://www.joelia.eu/
Yamazato,150 - 190 EUR,https://www.okura.nl/
Zeezout,36 - 75 EUR,https://www.restaurantzeezout.nl/
Marrees,40 - 90 EUR,https://www.restaurantmarrees.nl/
Bij Jef,125 EUR,https://www.bijjef.nl/
Latour,60 - 112 EUR,https://www.restaurantlatour.nl/
Aan de Zweth,52 - 115 EUR,https://www.aandezweth.nl/
Flicka,43 - 115 EUR,https://restaurant-flicka.nl/
Kilian Stuba,110 - 140 EUR,https://www.travelcharme.com/
der Schneider,74 - 120 EUR,www.derschneider-restaurant.com
Zur Post,49 - 135 EUR,https://www.zurpost.eu/
Le Flair,95 - 130 EUR,https://www.restaurant-leflair.de/
Orangerie,84 - 135 EUR,https://www.orangerie-timmendorfer-strand.de/
Rebers Pflug,47 - 105 EUR,https://www.rebers-pflug.de/
"Gourmetrestaurant ""fine dining RS""",108 - 153 EUR,https://www.burg-staufeneck.de/
Atelier Sanssouci,89 - 129 EUR,https://www.atelier-sanssouci.de/
Apicius,99 - 165 EUR,https://www.jagdhaus-eiden.de/
SKYKITCHEN,125 EUR,https://www.skykitchen.berlin/
maiBeck,43 - 62 EUR,https://www.maibeck.de/
Traube,89 - 120 EUR,http://www.traube-blansingen.de/
BODENDORF'S,178 - 218 EUR,https://www.landhaus-stricker.de/
Johanns,29 - 82 EUR,http://www.restaurant-johanns.de/
JUWEL,130 - 157 EUR,https://www.bei-schumann.de/
Gourmet Restaurant im Schlosshotel Münchhausen,130 - 190 EUR,www.schlosshotel-muenchhausen.com
Cheval Blanc,85 - 138 EUR,www.weisses-ross.de
San Martino - Gourmet,146 - 182 EUR,www.san-martino.net
[KOOK] 36,50 - 95 EUR,https://www.kook36.de/
Wolfshöhle,39 - 125 EUR,http://www.wolfshoehle-freiburg.de/
Coeur D'Artichaut,80 - 130 EUR,https://www.coeur-dartichaut.de/
Tian,49 - 123 EUR,https://www.tian-restaurant.com/
Kucher's Gourmet,73 - 119 EUR,www.kucherslandhotel.de
Weinschänke Schloss Groenesteyn,66 - 145 EUR,https://www.groenesteyn.net/
Philipp Soldan,54 - 125 EUR,https://www.sonne-frankenberg.de/
Reuter,93 - 144 EUR,https://www.hotelreuter.de/
5,88 - 176 EUR,https://www.5.fo/
Zeitwerk,120 - 140 EUR,https://www.dein-zeitwerk.com/
Mühlenhelle,50 - 139 EUR,https://www.muehlenhelle.de/
REISERS am Stein,39 - 125 EUR,https://www.der-reiser.de/
Erbprinz,124 - 170 EUR,https://www.erbprinz.de/
Leos by Stephan Brandl,66 - 135 EUR,www.bayerwaldhof.de
Hannappel,60 - 118 EUR,https://www.restaurant-hannappel.de/
Frühsammers Restaurant,135 EUR,https://www.fruehsammers.de/
Hugos,110 - 175 EUR,https://www.hugos-restaurant.de/
Werners Restaurant,78 - 120 EUR,https://www.schlosseberstein.com/
maximilian lorenz,123 - 152 EUR,https://www.restaurant-maximilianlorenz.de/
Stadtpfeiffer,58 - 138 EUR,https://www.stadtpfeiffer.de/
Aska,95 - 120 EUR,https://www.aska.restaurant/
Alte Schule - Klassenzimmer,110 - 160 EUR,https://www.hotelalteschule.de/
Piment,82 - 124 EUR,https://www.restaurant-piment.de/
Raubs Landgasthof,49 - 140 EUR,https://www.raubs-landgasthof.de/
Gasthaus zum Raben,55 - 122 EUR,https://www.raben-horben.de/
Schiller's Manufaktur,75 - 185 EUR,http://www.schillers-restaurant.de/
La Bécasse,39 - 118 EUR,www.labecasse.de
Ahlmanns,99 - 139 EUR,www.kieler-kaufmann.de
Ostseelounge,124 EUR,https://www.strandhotel-fischland.de/
temporaire - Köhlerstube,125 - 155 EUR,https://www.traube-tonbach.de/
le Corange,59 - 104 EUR,https://www.corange-restaurant.de/
Stein's Traube,44 - 105 EUR,https://www.steins-traube.de/
KAI3,98 - 148 EUR,www.budersand.de
Schranners Waldhorn,29 - 89 EUR,https://www.schranners-waldhorn.de/
Roter Hahn,36 - 160 EUR,https://www.roter-hahn.com
Wirtshaus Meyers Keller,64 - 140 EUR,https://www.jockl-kaiser.de/
Koch und Kellner,90 - 170 EUR,https://www.kochundkellner.de/
Huberwirt,30 - 119 EUR,https://www.huber-wirt.de/
Anthony's Kitchen,120 - 185 EUR,https://www.anthonys.kitchen/
Adler,84 - 179 EUR,www.adler-lahr.de
Gourmetrestaurant Dirk Maus,95 - 140 EUR,https://www.dirk-maus.de/
Die Brasserie,36 - 109 EUR,https://www.diebrasserie-ps.de/
Aubergine,99 - 119 EUR,https://www.aubergine-starnberg.de/
La Cuisine Rademacher,23 - 100 EUR,https://www.la-cuisine-koeln.de/
Zehner's Stube,87 - 135 EUR,https://www.zehnersstube.de/
s'Äpfle,82 - 159 EUR,https://www.seehotelvillalinde.de/
Falconera,55 - 115 EUR,https://www.falconera.de/
faelt,89 EUR,https://www.faelt.de/
Berens am Kai,55 - 115 EUR,https://www.berensamkai.de/
Agata's,85 - 116 EUR,http://www.agatas.de/
Keidenzeller Hof,75 - 120 EUR,www.keidenzeller-hof.de
Anima,94 - 125 EUR,https://www.restaurant-anima.de/
Kunz,78 - 125 EUR,https://www.restaurant-kunz.de/
SEO Küchenhandwerk,144 EUR,http://www.restaurant-seo.de/
Friedrich Franz,130 - 249 EUR,https://www.grandhotel-heiligendamm.de/
Landhaus Köpp,55 - 77 EUR,https://www.landhauskoepp.de/
Schlossberg,103 - 172 EUR,www.hotel-sackmann.de
Die Zirbelstube,97 - 169 EUR,https://www.hotelschlossgarten.com/
Sartory,159 - 189 EUR,https://www.sartory-augsburg.de/
mural,125 - 155 EUR,https://www.mural.restaurant/
Casala,109 - 145 EUR,https://www.hotel-residenz-meersburg.com/
Wielandshöhe,80 - 150 EUR,https://www.wielandshoehe.de/
Gutshaus Stolpe,120 - 150 EUR,https://www.gutshaus-stolpe.de/
Laudensacks Gourmet Restaurant,76 - 138 EUR,https://www.laudensacks-parkhotel.de/
Oettinger's Restaurant,64 - 108 EUR,https://www.hirsch-fellbach.de/
Wein- und Tafelhaus,125 - 165 EUR,https://www.wein-tafelhaus.de/
Yunico,79 - 170 EUR,www.kamehabonn.de
Erno's Bistro,55 - 165 EUR,https://www.ernosbistro.de/
Speisemeisterei,145 - 185 EUR,https://www.speisemeisterei.de/
Alte Pfarrey,82 - 134 EUR,http://www.altepfarrey.de/
Balthasar,78 - 155 EUR,https://www.restaurant-balthasar.de/
"Christian & Friends, Tastekitchen",30 - 75 EUR,https://www.christianandfriends.de/
L.A. Jordan,175 - 205 EUR,https://www.ketschauer-hof.com/
Gabelspiel,130 - 140 EUR,http://www.restaurant-gabelspiel.de/
Gut Lärchenhof,110 - 199 EUR,www.restaurant-gutlaerchenhof.de
Gasthof Krone,59 - 99 EUR,https://www.krone-waldenbuch.de/
Malathounis,49 - 98 EUR,https://www.malathounis.de/
Der Zauberlehrling,85 - 140 EUR,https://www.zauberlehrling.de/
Balthazar,119 - 169 EUR,https://www.restaurantbalthazar.de/
Nobelhart & Schmutzig,105 - 130 EUR,https://www.nobelhartundschmutzig.com/
Jan´s Restaurant,49 - 56 EUR,https://www.detmolder-hof.de/
DiVa,85 - 122 EUR,www.hotel-belveder.de
GOLVET,60 - 120 EUR,https://www.golvet.de/
astrein,92 - 129 EUR,https://www.astrein-restaurant.de/
Clostermanns Le Gourmet,89 - 149 EUR,www.clostermannshof.de
Gregor's Fine Dining,119 - 148 EUR,www.wutzschleife.com
Restaurant Villa Merton,95 - 145 EUR,https://www.restaurant-villa-merton.de/
L'étable,86 - 126 EUR,www.zumsternhersfeld.de
Landhaus Feckl,53 - 108 EUR,https://www.landhausfeckl.de/
ernst,195 EUR,N/A
Da Vinci,129 - 158 EUR,https://www.davinci-koblenz.de/
Genuss-Apotheke,51 - 149 EUR,https://www.genuss-apotheke.de/
VILLINO,106 - 158 EUR,https://www.villino.de/
Zur Krone,120 - 132 EUR,https://www.zurkroneneupotz.de/
Laurentius,59 - 129 EUR,www.hotel-laurentius.de
Buchner,56 - 115 EUR,https://www.buchner-welchenberg.de/
Petit Amour,159 - 185 EUR,https://www.petitamour-hh.com/
Hupperts,109 - 119 EUR,https://www.hupperts-restaurant.de/
Le Jardin de France,45 - 115 EUR,https://www.lejardindefrance.de/
Kulmeck by Tom Wickboldt,99 - 135 EUR,https://www.kulmeck.de/
Jungborn,121 - 144 EUR,www.bollants.de
halbedel's Gasthaus,85 - 150 EUR,www.halbedels-gasthaus.de
Landhaus Scherrer,85 - 135 EUR,https://www.landhausscherrer.de/
Waidwerk,125 - 350 EUR,https://www.rottner-hotel.de/
La Société,135 EUR,http://www.restaurant-lasociete.de/
Hofstube,119 - 139 EUR,https://www.deimann.de/
ESS ATELIER STRAUSS,79 - 180 EUR,https://www.loewen-strauss.de/
Schwabenstube,62 - 115 EUR,www.adler-asperg.de
Le Gourmet,106 - 160 EUR,https://www.hirschgasse.de/
Seestern,69 - 165 EUR,https://www.lago-ulm.de/
Nagaya,79 - 198 EUR,https://www.nagaya.de/
prism,89 - 165 EUR,https://www.prismberlin.de/
Doblers,49 - 98 EUR,https://www.doblers.de/
Schwitzer's am Park,99 - 189 EUR,https://schwitzers.com/
Carmelo Greco,73 - 97 EUR,https://www.carmelo-greco.de/
Schwarzreiter,85 - 185 EUR,www.schwarzreiter-muenchen.de
Ursprung,110 - 145 EUR,https://www.widmanns-albleben.de/
Lakeside,155 - 175 EUR,https://www.thefontenay.com/restaurants-bar/lakeside-restaurant/
SoulFood,58 - 79 EUR,www.restaurant-soulfood.com
SIEDEPUNKT,59 - 135 EUR,https://www.siedepunkt-restaurant.de/
Gasthof zum Bad,46 - 136 EUR,http://www.gasthof-zum-bad.de/home/
FAVORITE restaurant,35 - 140 EUR,https://www.favorite-mainz.de/
Admiral,76 - 130 EUR,https://www.admiral-weisenheim.de/
Eisenbahn,75 - 148 EUR,https://www.landhauswolf.eu/
Irma la Douce,51 - 89 EUR,https://www.irmaladouce.de/
Rüssel's Landhaus,72 - 165 EUR,https://www.ruessels-landhaus.de/
Christian's Restaurant - Gasthof Grainer,65 - 125 EUR,www.christians-restaurant.de
Setzkasten,39 - 129 EUR,https://www.restaurant-setzkasten.de/
Ente,65 - 180 EUR,https://www.nassauer-hof.de/
kochZIMMER in der Gaststätte zur Ratswaage,115 - 155 EUR,https://www.restaurant-kochzimmer.de/
Kaupers Restaurant im Kapellenhof,107 - 125 EUR,https://www.kaupers-kapellenhof.de/
Yoshi by Nagaya,75 - 148 EUR,https://www.nagaya.de/
Gourmetrestaurant Dichter,138 - 218 EUR,www.gourmetrestaurant-dichter.de
taku,21 - 130 EUR,www.taku.de
Oben,130 EUR,https://www.restaurant-oben.de/
Weinstock,75 - 132 EUR,https://www.schwane.de/
Cordo,75 - 120 EUR,https://www.cordo.berlin/
1876 Daniel Dal-Ben,130 - 198 EUR,https://www.1876.restaurant/
Cookies Cream,79 - 149 EUR,https://www.cookiescream.com/
Goldener Anker,85 - 127 EUR,https://www.bjoern-freitag.de/
Burg Nideggen - Brockel Schlimbach,125 - 140 EUR,https://www.burgrestaurant-nideggen.de/
Haubentaucher,70 - 100 EUR,https://www.haubentaucher-tegernsee.de/
Frieda,79 - 109 EUR,https://www.frieda-restaurant.de/
Ich weiß ein Haus am See,110 EUR,https://www.hausamsee.de/
Haus Stemberg,42 - 105 EUR,https://www.haus-stemberg.de/
Jean,49 - 125 EUR,https://www.hotel-frankenbach.de/
Im Schiffchen,65 - 160 EUR,http://www.im-schiffchen.com/
Gourmet-Restaurant Der Butt,149 - 189 EUR,https://www.hohe-duene.de/
Français,69 - 205 EUR,https://www.restaurant-francais.de/
einsunternull,139 EUR,https://restaurant-einsunternull.de/
YOSO,98 - 112 EUR,https://www.yoso-restaurant.de/
Restaurant 1797,119 EUR,https://www.ole-liese.de/
Philipp,65 - 155 EUR,https://www.restaurant-philipp.de/
Alte Baiz,112 - 152 EUR,www.gruenerwald.de
Bandol sur mer,85 - 139 EUR,https://www.bandolsurmer.de/
BECKER'S,105 - 125 EUR,www.beckers-trier.de
Gourmetrestaurant Berlins Krone,105 - 145 EUR,https://www.kronelamm.de/
ferment,104 - 139 EUR,www.restaurant-ackermann.de
Ratsstuben,79 - 148 EUR,https://www.hotel-haltern.de/
Alfredo,65 - 81 EUR,https://www.ristorante-alfredo.com/
Hämmerle's Restaurant - Barrique,88 - 108 EUR,http://www.haemmerles-restaurant.de/
Silberdistel,99 - 298 EUR,https://www.sonnenalp.de/
Storstad,45 - 145 EUR,https://www.storstad.de/
Sparkling Bistro,60 - 155 EUR,http://www.sparklingbistro.de/
Seesteg,54 - 98 EUR,www.seesteg-norderney.de
Délice,98 - 112 EUR,https://www.delice-restaurant.de/
Camers Schlossrestaurant,110 - 130 EUR,https://www.camers.de/
Genießer Stube,59 - 150 EUR,https://www.geniesserstube.de/
Schloss Filseck,26 - 160 EUR,https://www.restaurant-auf-schloss-filseck.de/
Alt Wyk,79 - 110 EUR,www.alt-wyk.de
La Fontaine,78 - 110 EUR,https://www.ludwigimpark.de/
Schattbuch,63 - 115 EUR,www.schattbuch.de
Le temple,130 - 165 EUR,www.le-temple.de
LOUIS restaurant,89 - 169 EUR,www.lamaison-hotel.de
Das Marktrestaurant,42 - 105 EUR,https://www.das-marktrestaurant.de/
Showroom,130 - 160 EUR,https://www.showroom-restaurant.de/
Oswald's Gourmetstube,69 - 145 EUR,https://www.hotel-oswald.de/
Sankt Benedikt,48 - 155 EUR,www.stbenedikt.de
Maerz - Das Restaurant,119 - 129 EUR,www.maerzundmaerz.de
Maître im Landhaus Kuckuck,75 - 159 EUR,https://www.landhaus-kuckuck.de/
PAVO im Burghotel Falkenstein,135 - 140 EUR,https://www.burghotel-falkenstein.de/
The O'ROOM,150 EUR,https://www.strandcasino-marc-o-polo.com/
freustil,66 - 99 EUR,https://www.freustil.de/
Das Maximilians,102 - 139 EUR,https://www.das-maximilians.de/
Lamm Rosswag,46 - 130 EUR,https://www.lamm-rosswag.de/
sein,40 - 130 EUR,https://www.restaurant-sein.de
Elements,52 - 85 EUR,www.restaurant-elements.de
Fritz's Frau Franzi,58 - 119 EUR,https://www.fritzs-frau-franzi.de/
Acquarello,55 - 185 EUR,www.acquarello.com
Marly,49 - 129 EUR,https://www.restaurant-marly.com/
Genuss-Atelier,49 - 94 EUR,www.genuss-atelier.net
Gasthaus Jakob,59 - 89 EUR,https://www.genuss-jakob.de/
Eckert,34 - 132 EUR,https://www.eckert-grenzach.de/
Bembergs Häuschen,105 - 165 EUR,www.burgflamersheim.de
La Vallée Verte,42 - 194 EUR,www.hohenhaus.de
Gourmetrestaurant Nico Burkhardt,109 - 150 EUR,https://www.pfauen-schorndorf.de/
PUR,105 - 185 EUR,https://www.kempinski.com/berchtesgaden
Zur Tant,71 - 98 EUR,http://www.zurtant.de/
Schwarzer Adler,84 - 135 EUR,https://www.franz-keller.de/
Entenstuben,57 - 135 EUR,https://www.entenstuben.de/
360°,36 - 160 EUR,https://www.restaurant360grad.de/
Historisches Gasthaus Sanct Peter Restaurant Brogsitter,69 - 165 EUR,https://www.sanct-peter.de/
THE IZAKAYA,75 - 110 EUR,http://www.the-izakaya.com/
Schwingshackl ESSKULTUR Gourmet,75 - 125 EUR,www.schwingshackl-esskultur.de
Weinsinn,95 - 125 EUR,www.weinsinn.de
NeoBiota,85 - 145 EUR,https://www.restaurant-neobiota.de/
Sterneck,85 - 195 EUR,https://www.badhotel-sternhagen.de/
Urgestein im Steinhäuser Hof,120 - 140 EUR,https://www.restaurant-urgestein.de/
Landwerk,79 - 145 EUR,https://www.land-werk.de/
Richard,74 - 118 EUR,https://www.restaurant-richard.de/
Bieberbau,64 - 84 EUR,https://www.bieberbau-berlin.de/
ZweiSinn Meiers | Fine Dining,115 - 140 EUR,https://www.meierszweisinn.de/
100/200 Kitchen,144 EUR,https://www.100200.kitchen/
DR.KOSCH,82 - 110 EUR,https://www.dr-kosch.de/
Hirsch,52 - 110 EUR,https://www.romantikhotel-hirsch.de/
BjörnsOX,129 EUR,www.rhoener-botschaft.de
Pietsch,120 - 140 EUR,https://www.restaurantpietsch.de/
Bachofer,34 - 149 EUR,https://www.bachofer.info/
Wullenwever,85 - 150 EUR,www.wullenwever.de
Kesselhaus,88 - 128 EUR,https://www.kesselhaus-os.de/
Schwarz Gourmet,129 - 159 EUR,https://www.schwarz-restaurant.de/
Grammons Restaurant,65 - 119 EUR,www.grammons.de
Merkles Restaurant,85 - 129 EUR,www.merkles-restaurant.de
Schote,122 - 189 EUR,https://www.restaurant-schote.de/
Storchen,42 - 128 EUR,https://www.storchen-schmidhofen.de/
Seven Swans,129 EUR,https://www.sevenswans.de/
zeit|geist,49 - 99 EUR,https://www.walksches-haus.de/
Kin Dee,65 EUR,https://www.kindeeberlin.com/
El Invernadero,95 - 150 EUR,www.elinvernaderorestaurante.com
El Club Allard,60 - 135 EUR,www.elcluballard.com
Brienen aan de Maas,70 - 108 EUR,https://www.restaurantbrienenaandemaas.nl/
Corral de la Morería Gastronómico,59 - 75 EUR,www.moreriagastro.com
Lúa,50 - 78 EUR,www.restaurantelua.com
A'Barra,65 - 120 EUR,www.restauranteabarra.com
Gaytán,50 - 137 EUR,www.chefjavieraranda.com
Saddle,85 - 120 EUR,www.saddle-madrid.com
Cebo,115 - 135 EUR,www.cebomadrid.com
Gofio,65 - 125 EUR,www.gofiorestaurant.com
De Kristalijn,55 - 158 EUR,https://www.dekristalijn.be/
Yugo,135 - 182 EUR,www.yugothebunker.com
Kabuki Wellington,85 - 130 EUR,www.restaurantekabuki.com
Claude Darroze,39 - 120 EUR,https://www.darroze.com/
La Tasquería,40 - 75 EUR,www.latasqueria.com
Au 14 Février,75 - 98 EUR,https://www.sv-au14fevrier.com/
Altermezzo,90 - 235 EUR,https://www.altermezzo.be/
Europa,65 - 89 EUR,www.hreuropa.com
Magis,51 - 100 EUR,https://www.restaurantmagis.be/
De Mijlpaal,45 - 122 EUR,https://www.demijlpaal.org/
Bayview by Michel Roth,60 - 200 CHF,https://www.restaurantbayview.com/
Alpenblick - Stuba,93 - 135 CHF,https://www.alpenblick-adelboden.ch/
Galleria Arté al Lago,109 - 135 CHF,http://www.restaurantarte.com/
Le Berceau des Sens,50 - 125 CHF,https://www.berceau-des-sens.ch/
Sihlhalde,68 - 156 CHF,https://www.smoly.ch/
Locanda Orico,50 - 135 CHF,https://www.locandaorico.ch/
Attisholz - le feu,53 - 145 CHF,https://www.attisholz.ch/
La Brezza,135 - 180 CHF,https://www.edenroc.ch/
Rössli - Jägerstübli,195 CHF,https://www.stefanwiesner.ch/
Wirtshaus Zur Säge,103 - 120 CHF,https://www.säge-flüh.ch/
Café Berra,85 - 190 CHF,https://www.cafeberra.ch/
roots,59 - 189 CHF,https://www.roots-basel.ch/
Die Rose,110 - 190 CHF,https://www.die-rose.ch/
Regina Montium,125 - 165 CHF,https://www.kraeuterhotel.ch/
Des Trois Tours,78 - 182 CHF,https://www.troistours.ch/
L'Aparté,54 - 119 CHF,https://www.hotelroyalgeneva.com/
Neue Blumenau,60 - 175 CHF,https://www.neueblumenau.ch/
the K by mauro colagreco,133 - 330 CHF,https://www.kulm.com/
Le Chat-Botté,60 - 220 CHF,https://www.beau-rivage.ch/
Truube,82 - 145 CHF,http://www.truube.ch/
Principe Leopoldo,68 - 144 CHF,https://www.leopoldohotel.com/
Jägerhof,70 - 170 CHF,https://www.jaegerhof.ch/
Traube,68 - 180 CHF,https://www.traubetrimbach.ch/
La Rôtisserie,82 - 160 CHF,https://www.storchen.ch/
L'Etoile - Nova,79 - 189 CHF,http://www.etoile.ch/
1904 Designed by Lagonda,175 - 250 CHF,https://zuerich.r-experience.com/
Panorama - Cayenne,118 - 133 CHF,https://www.panorama-hartlisberg.ch/
La Riva,46 - 225 CHF,https://www.lariva.ch/
Tosca,69 - 200 CHF,https://www.tosca-geneva.ch/
Table de Mary,69 - 135 CHF,https://www.latabledemary.ch/
Sternen - Badstube,52 - 142 CHF,https://www.sternenwangen.ch/
La Table du Lausanne Palace,78 - 198 CHF,www.lausanne-palace.ch/restaurants-bars/la-table-du-lausanne-palace/le-restaurant/
L'OURS,65 - 205 CHF,https://www.pasdelours.ch/
Du Cerf,85 - 185 CHF,http://www.cerf-sonceboz.ch/
EquiTable,105 - 180 CHF,https://www.equi-table.ch/
mesa,68 - 190 CHF,https://www.mesa-restaurant.ch/
Le Flacon,55 - 125 CHF,www.leflacon.ch
Mammertsberg,100 - 180 CHF,https://www.mammertsberg.ch/
Le Pérolles,78 - 188 CHF,https://www.leperolles.ch/
Neue Taverne,59 - 130 CHF,https://www.neuetaverne.ch/
